time, x accl, y accl, z accl, gyro x, gyro y, gyro z, pressure
6518,0.07,-0.05,9.99,-0.00,0.00,0.00,1021.80
6606,0.07,-0.10,9.95,-0.00,0.00,0.00,1021.79
6693,0.08,-0.06,9.96,-0.00,0.00,0.00,1021.79
6780,0.11,-0.05,9.98,-0.00,0.01,0.00,1021.80
6867,0.04,-0.11,9.98,-0.00,0.00,0.00,1021.78
6954,0.07,-0.02,9.99,-0.00,0.00,0.00,1021.81
7041,0.08,-0.07,9.97,-0.00,0.00,0.00,1021.80
7128,0.09,-0.08,9.99,-0.00,0.00,0.00,1021.79
7216,0.05,-0.04,9.99,-0.00,0.00,0.00,1021.78
7303,0.10,-0.07,9.97,-0.00,0.00,0.01,1021.75
7395,0.06,-0.07,9.98,-0.00,0.00,0.00,1021.81
7482,0.09,-0.05,9.99,-0.00,0.00,0.00,1021.79
7569,0.07,-0.08,9.98,-0.00,0.00,0.00,1021.76
7657,0.07,-0.04,10.00,-0.00,0.00,0.00,1021.77
7744,-1.97,1.45,10.02,-0.01,0.00,-0.17,1021.76
7831,-1.47,1.31,9.88,-0.03,0.03,-0.19,1021.74
7918,3.16,-0.71,10.00,-0.01,0.01,1.44,1021.77
8006,-0.42,0.43,9.95,0.00,0.00,-0.10,1021.75
8093,-0.05,-0.02,10.02,0.01,0.00,0.06,1021.75
8180,0.89,0.19,9.96,-0.03,0.01,1.15,1021.77
8268,0.16,-0.08,9.98,-0.02,0.01,0.06,1021.74
8359,-0.21,0.13,10.03,-0.01,0.01,1.14,1021.74
8445,-0.29,-0.03,10.03,-0.00,0.00,2.33,1021.73
8531,0.07,-0.18,9.99,-0.01,0.01,2.50,1021.70
8617,-0.03,-0.46,9.99,-0.01,0.01,2.46,1021.72
8703,0.55,-0.16,10.01,-0.01,0.01,1.60,1021.74
8789,-0.13,-0.07,9.99,0.00,0.00,0.65,1021.72
8875,-0.11,-0.37,9.99,-0.01,0.00,0.18,1021.75
8961,0.00,-0.19,9.99,0.00,0.00,0.33,1021.74
9047,-0.23,-0.29,10.01,0.00,0.00,0.37,1021.76
9133,-0.73,-0.29,9.98,-0.01,0.01,1.28,1021.75
9219,-0.26,-0.34,10.06,-0.00,0.01,1.87,1021.77
9310,0.44,-0.33,10.02,-0.00,0.00,0.95,1021.76
9397,-0.10,-0.04,9.99,-0.00,0.01,0.52,1021.76
9485,0.44,-0.55,10.01,0.01,0.01,0.57,1021.72
9572,0.10,-0.08,10.01,-0.00,0.00,0.01,1021.72
9659,0.58,-0.27,9.93,0.03,0.01,-0.43,1021.73
9746,0.73,0.00,10.03,-0.01,0.00,-1.51,1021.72
9833,-0.97,-0.68,9.98,0.01,0.00,-1.08,1021.71
9921,0.04,-0.00,9.99,0.00,0.00,-0.07,1021.75
10008,0.33,-0.13,10.02,-0.00,0.00,-0.21,1021.73
10095,0.21,-0.13,10.01,-0.00,0.00,-0.53,1021.70
10182,0.26,0.06,10.01,-0.01,0.00,-0.72,1021.71
10274,-0.05,0.00,10.01,0.00,0.00,-0.79,1021.72
10360,0.14,-0.02,10.00,0.00,0.00,-1.02,1021.72
10446,0.18,-0.19,9.94,0.01,-0.00,-1.18,1021.71
10532,-0.04,-0.31,9.99,-0.02,0.00,-0.96,1021.72
10618,0.23,0.18,10.01,-0.00,0.00,-0.88,1021.69
10704,-0.03,-0.51,10.01,0.00,0.00,-2.33,1021.71
10790,0.09,-0.57,9.97,0.02,0.00,-1.56,1021.72
10876,0.14,-0.47,10.01,0.01,-0.00,-1.42,1021.73
10962,-0.34,0.33,10.03,-0.03,0.00,-1.63,1021.73
11048,-0.47,1.38,10.06,-0.11,-0.01,-0.91,1021.70
11134,0.69,0.11,10.00,-0.01,0.01,0.15,1021.70
11225,0.07,-0.04,9.99,0.00,0.00,0.00,1021.69
11312,0.09,-0.02,10.02,-0.00,0.00,0.02,1021.65
11399,0.05,-0.09,10.00,-0.00,0.00,0.00,1021.74
11486,0.10,-0.07,10.01,-0.00,0.00,0.01,1021.67
11573,0.04,-0.07,10.00,-0.00,0.00,0.00,1021.71
11660,0.07,-0.04,10.00,-0.00,0.00,0.00,1021.70
11748,0.06,-0.08,9.99,-0.01,0.00,0.00,1021.69
11835,0.09,0.00,10.02,-0.00,0.01,0.04,1021.71
11933,0.02,-0.13,9.98,-0.00,0.00,0.02,1021.70
12020,0.08,-0.08,10.02,-0.01,0.01,0.01,1021.70
